Incident Index,Minimum Travel Time
0,848.5282033073336
1,1176.0227706853782
2,916.0424258780201
3,1221.760566088848
4,823.9000000001008
5,843.1540805828153
6,1274.3879195168472
7,494.4
8,558.390678488084
9,182.65740644132552
10,502.6401136581823
11,895.6
12,207.42609485226868
13,851.9
14,1074.5605660888484
15,996.7000000000547
16,1335.3268710780494
17,2103.968911823373
18,1146.500000000091
19,1478.6993808925438
20,368.70000000000005
21,628.096430854082
22,1197.6646883408393
23,707.3
24,20.1
25,684.3858592040064
26,586.8000000000001
27,980.2147213010294
28,363.1858545319798
29,1371.9484770373265
30,849.7221845969301
31,1015.8518726050539
32,316.29829241169045
33,484.44089185921973
34,627.8820982385254
35,485.1304591749181
36,1051.826047026441
37,857.4606072051724
38,630.6745336949375
39,666.6498772232735
40,1392.5730874379533
41,1743.5539652049467
42,538.3934908450252
43,601.1982924116905
44,783.1276059129549
45,630.6745336949375
46,1103.3625441851132
47,907.5031114250173
48,1268.0102045434282
49,0.0
50,235.5334174173348
51,151.5
52,113.67049357293618
53,849.5884770373267
54,155.29999999999998
55,903.9260948522985
56,469.9042156239732
57,368.70000000000005
58,933.5000000000273
59,897.6540805828153
60,1040.5000000001244
61,604.0485036522185
62,350.038464246527
63,814.5492488823567
64,1168.627549905958
65,754.7357699339683
66,573.2313114831751
67,286.79999999999995
68,649.4906784880839
69,568.9102045434279
70,699.7404550147731
71,662.2574988160613
72,568.2568679875938
73,1247.9999999999998
74,833.7498772232734
75,533.5418068497025
76,1041.5022992796792
77,307.6
78,947.0022992796792
79,90.03607965331187
80,818.4031152949376
81,843.2681043061958
82,714.3997958850495
83,265.7
84,1563.677093681131
85,456.7000000000594
86,1137.200000000091
87,1155.5000000001066
88,505.22313900392527
89,431.0605660888484
90,250.6704935729362
91,1271.4220986391317
92,546.4891161802468
93,735.3353527696321
94,1472.4646883408395
95,0.0
96,1483.1000000001957
97,1216.3575593325456
98,313.29829277169114
99,477.40000000007126
100,742.7646883408394
101,1120.581481685993
102,1142.3125683039095
103,977.9418068497026
104,712.6408918592784
105,834.8408195990177
106,864.5451904501294
107,948.1615761100372
108,1155.6323502739988
109,976.9796895792954
110,242.7220986390272
111,607.0997958850494
112,1427.9495913023031
113,852.2170761763693
114,1065.4418068497027
115,405.840113658055
116,802.9650129564933
117,679.9693296652842
118,704.0042549493011
119,830.9884770373267
120,932.914721300956
121,347.1000000001803
122,573.6119127863064
123,906.4552459132541
124,688.8001941951583
125,453.1448971503835
126,840.7929870079668
127,1012.9545585143444
128,0.0
129,837.8022992796792
130,804.4393559154481
131,594.7602450081544
132,692.310204543428
133,576.7
134,758.8112489098218
135,910.354080582599
136,817.8000000000002
137,822.9772761889441
138,469.9042156239732
139,911.9147213009559
140,546.2891161802467
141,966.8109836499615
142,533.5418068497025
143,870.1000000000611
144,814.7001941951582
145,656.7635960316774
146,484.44089185921973
147,505.22313900392527
148,888.0695070636667
149,46.8
150,322.9
151,570.8
152,195.3
153,780.1291864378601
154,573.6119127863064
155,1647.474525469596
156,883.3147213009561
157,707.3247669387945
158,293.90000000000003
159,818.4438417463542
160,1054.3680685839809
161,797.0540805828152
162,667.410204543428
163,687.2646505742575
164,1744.7980060660861
165,282.8982924116905
166,515.5102045434279
167,1726.631704619587
168,447.0999999999999
169,1028.128345885833
170,760.10450626492
171,978.6175529864806
172,973.1999999999998
173,630.5104631531285
174,617.6477122209063
175,937.0498772232734
176,1498.0037320626918
177,573.3000000000001
178,2138.020738856244
179,159.39999999999998
180,706.509282090293
181,746.9536946253625
182,1207.8
183,751.0999999999998
184,977.9418068497026
185,621.6409563390991
186,490.03045917491806
187,529.7
188,1286.753558160194
189,688.3
190,1649.8730874379532
191,686.7000000000548
192,1065.4418068497027
